The train model is : ./model/Sougoumodel_epoch_9.bin
The logger information is saved in : ./train_data/job_logger.txt
	 batch = 9400 	 loss = 4.33371 	 cost_time = 1418.403s
	 batch = 9500 	 loss = 4.22207 	 cost_time = 1423.424s
	 batch = 9600 	 loss = 3.29135 	 cost_time = 1428.987s
	 batch = 9700 	 loss = 1.22819 	 cost_time = 1434.424s
	 batch = 9800 	 loss = 2.90306 	 cost_time = 1439.282s
	 batch = 9900 	 loss = 5.33514 	 cost_time = 1444.129s
	 batch = 10000 	 loss = 6.40478 	 cost_time = 1449.852s
	 batch = 10100 	 loss = 2.71910 	 cost_time = 1455.217s
	 batch = 10200 	 loss = 5.18151 	 cost_time = 1460.530s
	 batch = 10300 	 loss = 6.76627 	 cost_time = 1465.812s
	 batch = 10400 	 loss = 4.28910 	 cost_time = 1470.943s
	 batch = 10500 	 loss = 5.85190 	 cost_time = 1475.948s
	 batch = 10600 	 loss = 4.87992 	 cost_time = 1480.882s
	 batch = 10700 	 loss = 3.22596 	 cost_time = 1486.021s
	 batch = 10800 	 loss = 2.49240 	 cost_time = 1491.221s
	 batch = 10900 	 loss = 5.71344 	 cost_time = 1496.450s
	 batch = 11000 	 loss = 5.10034 	 cost_time = 1502.022s
	 batch = 11100 	 loss = 4.49709 	 cost_time = 1507.282s
	 batch = 11200 	 loss = 1.92740 	 cost_time = 1512.371s
	 batch = 11300 	 loss = 6.36548 	 cost_time = 1517.580s
	 batch = 11400 	 loss = 5.09998 	 cost_time = 1522.985s
	 batch = 11500 	 loss = 2.57017 	 cost_time = 1528.419s
	 batch = 11600 	 loss = 1.62403 	 cost_time = 1533.773s
	 batch = 11700 	 loss = 6.32311 	 cost_time = 1538.860s
	 batch = 11800 	 loss = 3.92598 	 cost_time = 1543.865s
	 batch = 11900 	 loss = 2.75479 	 cost_time = 1549.118s
	 batch = 12000 	 loss = 2.34185 	 cost_time = 1555.232s
	 batch = 12100 	 loss = 3.40301 	 cost_time = 1560.263s
	 batch = 12200 	 loss = 3.05972 	 cost_time = 1565.307s
	 batch = 12300 	 loss = 4.45996 	 cost_time = 1570.504s
	 batch = 12400 	 loss = 3.34888 	 cost_time = 1575.567s
	 batch = 12500 	 loss = 5.80181 	 cost_time = 1580.576s
	 batch = 12600 	 loss = 3.90029 	 cost_time = 1585.916s
	 batch = 12700 	 loss = 6.28409 	 cost_time = 1590.914s
	 batch = 12800 	 loss = 5.63347 	 cost_time = 1595.768s
	 batch = 12900 	 loss = 10.61839 	 cost_time = 1600.738s
	 batch = 13000 	 loss = 4.57760 	 cost_time = 1606.715s
	 batch = 13100 	 loss = 5.11395 	 cost_time = 1611.786s
	 batch = 13200 	 loss = 2.91389 	 cost_time = 1617.098s
	 batch = 13300 	 loss = 3.08131 	 cost_time = 1622.327s
	 batch = 13400 	 loss = 4.97658 	 cost_time = 1627.545s
	 batch = 13500 	 loss = 3.06680 	 cost_time = 1632.538s
	 batch = 13600 	 loss = 2.37969 	 cost_time = 1637.161s
	 batch = 13700 	 loss = 4.44033 	 cost_time = 1642.128s
	 batch = 13800 	 loss = 1.24288 	 cost_time = 1647.266s
	 batch = 13900 	 loss = 3.79297 	 cost_time = 1652.360s
	 batch = 14000 	 loss = 3.71348 	 cost_time = 1658.285s
	 batch = 14100 	 loss = 2.91733 	 cost_time = 1663.313s
	 batch = 14200 	 loss = 6.08643 	 cost_time = 1668.455s
	 batch = 14300 	 loss = 4.41680 	 cost_time = 1673.468s
	 batch = 14400 	 loss = 3.26513 	 cost_time = 1678.808s
	 batch = 14500 	 loss = 3.86370 	 cost_time = 1683.471s
	 batch = 14600 	 loss = 2.30770 	 cost_time = 1688.735s
	 batch = 14700 	 loss = 2.15968 	 cost_time = 1693.824s
	 batch = 14800 	 loss = 1.64649 	 cost_time = 1698.922s
	 batch = 14900 	 loss = 1.90020 	 cost_time = 1704.169s
	 batch = 15000 	 loss = 4.49213 	 cost_time = 1709.979s
	 batch = 15100 	 loss = 4.42714 	 cost_time = 1715.016s
	 batch = 15200 	 loss = 7.03898 	 cost_time = 1720.146s
	 batch = 15300 	 loss = 4.60843 	 cost_time = 1725.257s
	 batch = 15400 	 loss = 3.95061 	 cost_time = 1730.343s
	 batch = 15500 	 loss = 4.47575 	 cost_time = 1735.785s
	 batch = 15600 	 loss = 5.07899 	 cost_time = 1740.763s
	 batch = 15700 	 loss = 9.41392 	 cost_time = 1745.622s
	 batch = 15800 	 loss = 2.81842 	 cost_time = 1750.592s
	 batch = 15900 	 loss = 1.86455 	 cost_time = 1755.493s
	 batch = 16000 	 loss = 4.27730 	 cost_time = 1761.457s
	 batch = 16100 	 loss = 2.02299 	 cost_time = 1766.626s
	 batch = 16200 	 loss = 4.27013 	 cost_time = 1771.659s
	 batch = 16300 	 loss = 2.82294 	 cost_time = 1776.591s
	 batch = 16400 	 loss = 3.79473 	 cost_time = 1781.723s
	 batch = 16500 	 loss = 1.05403 	 cost_time = 1786.438s
	 batch = 16600 	 loss = 4.62835 	 cost_time = 1791.480s
	 batch = 16700 	 loss = 3.11474 	 cost_time = 1796.284s
	 batch = 16800 	 loss = 4.40276 	 cost_time = 1801.035s
	 batch = 16900 	 loss = 4.84836 	 cost_time = 1805.747s
	 batch = 17000 	 loss = 5.31455 	 cost_time = 1811.407s
	 batch = 17100 	 loss = 3.51487 	 cost_time = 1816.518s
	 batch = 17200 	 loss = 3.95293 	 cost_time = 1821.688s
	 batch = 17300 	 loss = 4.57780 	 cost_time = 1826.838s
